"Author";"Class";"Name";"ShortName";"Value"
"BOAVENTURA VS";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3"
"BOAVENTURA VS";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"2"
"BOAVENTURA VS";"Zika";"Total Papers";"Papers";"1"
"BOAVENTURA VS";"Zika";"Papers with International Affiliations";"PapersINTL";"1"
"BOAVENTURA VS";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"1"
"BOAVENTURA VS";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"4"
"BOAVENTURA VS";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"BOAVENTURA VS";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"0"
"BOAVENTURA VS";"All";"Author affiliations";"Affiliation";"FIOCRUZ;FIOCRUZ BA;FIOCRUZ MS;SANTA CASA DE MISERICORDIA BAHIA;UFBA"
"BOAVENTURA VS";"All";"Authos afilliation states";"State";"RJ;BA;MS"
"BOAVENTURA VS";"All";"Author affiliation regions";"Region";"SE;CO;NE"
"BOAVENTURA VS";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to Zika through non-Zika"
"BOAVENTURA VS";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Soft pivot"
"MELO A";"Pre-Outbreak";"Most Common Journal Area";"TopField";"OBSTETRICS & GYNECOLOGY"
"MELO A";"Pre-Outbreak";"Total Citations";"Citations";"66"
"MELO A";"Pre-Outbreak";"Citations per Paper";"CitationRate";"7.33"
"MELO A";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"5.56"
"MELO A";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2.2"
"MELO A";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0"
"MELO A";"Pre-Outbreak";"Total Papers";"Papers";"5"
"MELO A";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"0"
"MELO A";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0"
"MELO A";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"12"
"MELO A";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"MELO A";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"MELO A";"Post-Outbreak";"Most Common Journal Area";"TopField";"OBSTETRICS & GYNECOLOGY"
"MELO A";"Post-Outbreak";"Total Citations";"Citations";"1561"
"MELO A";"Post-Outbreak";"Citations per Paper";"CitationRate";"42.19"
"MELO A";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"15.49"
"MELO A";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"5.45714285714286"
"MELO A";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.857142857142857"
"MELO A";"Post-Outbreak";"Total Papers";"Papers";"35"
"MELO A";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"10"
"MELO A";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.29"
"MELO A";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"MELO A";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.62"
"MELO A";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"5"
"MELO A";"Zika";"Most Common Journal Area";"TopField";"NEUROSCIENCES & NEUROLOGY"
"MELO A";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"2"
"MELO A";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"3"
"MELO A";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"13"
"MELO A";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"5"
"MELO A";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"0"
"MELO A";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"MELO A";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"MELO A";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"14"
"MELO A";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"591"
"MELO A";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"1496"
"MELO A";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"779"
"MELO A";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"0"
"MELO A";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"MELO A";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"MELO A";"Zika";"Total Citations";"Citations";"1530"
"MELO A";"Zika";"Citations per Paper";"CitationRate";"66.52"
"MELO A";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"15.48"
"MELO A";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"6.68181818181818"
"MELO A";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"1.31818181818182"
"MELO A";"Zika";"Total Papers";"Papers";"22"
"MELO A";"Zika";"Papers with International Affiliations";"PapersINTL";"9"
"MELO A";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.41"
"MELO A";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"MELO A";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"MELO A";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"5"
"MELO A";"All";"Author affiliations";"Affiliation";"INST SAUDE ELPIDIO DE ALMEIDA;IPESQ;UFCG;UNIFACISA;USP;-"
"MELO A";"All";"Authos afilliation states";"State";"SP;-;PB"
"MELO A";"All";"Author affiliation regions";"Region";"SE;NE"
"MELO A";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to both"
"MELO A";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Soft pivot"
"RABELLO ET";"ERROR";"No records: ZIKA = 3, PRE = 0, POST = 8";NA;NA
"BEVILACQUA E";"Pre-Outbreak";"Most Common Journal Area";"TopField";"REPRODUCTIVE BIOLOGY"
"BEVILACQUA E";"Pre-Outbreak";"Total Citations";"Citations";"1352"
"BEVILACQUA E";"Pre-Outbreak";"Citations per Paper";"CitationRate";"8.95"
"BEVILACQUA E";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"5.75"
"BEVILACQUA E";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2.35294117647059"
"BEVILACQUA E";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.576470588235294"
"BEVILACQUA E";"Pre-Outbreak";"Total Papers";"Papers";"85"
"BEVILACQUA E";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"30"
"BEVILACQUA E";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.35"
"BEVILACQUA E";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"43"
"BEVILACQUA E";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"BEVILACQUA E";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"BEVILACQUA E";"Post-Outbreak";"Most Common Journal Area";"TopField";"REPRODUCTIVE BIOLOGY"
"BEVILACQUA E";"Post-Outbreak";"Total Citations";"Citations";"107"
"BEVILACQUA E";"Post-Outbreak";"Citations per Paper";"CitationRate";"4.28"
"BEVILACQUA E";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"9.68"
"BEVILACQUA E";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3.56521739130435"
"BEVILACQUA E";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.521739130434783"
"BEVILACQUA E";"Post-Outbreak";"Total Papers";"Papers";"23"
"BEVILACQUA E";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"9"
"BEVILACQUA E";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.39"
"BEVILACQUA E";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"BEVILACQUA E";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.12"
"BEVILACQUA E";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"BEVILACQUA E";"Zika";"Most Common Journal Area";"TopField";"OBSTETRICS & GYNECOLOGY"
"BEVILACQUA E";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"1"
"BEVILACQUA E";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"0"
"BEVILACQUA E";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"2"
"BEVILACQUA E";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"0"
"BEVILACQUA E";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"0"
"BEVILACQUA E";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"BEVILACQUA E";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"BEVILACQUA E";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"3"
"BEVILACQUA E";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"0"
"BEVILACQUA E";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"28"
"BEVILACQUA E";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"0"
"BEVILACQUA E";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"0"
"BEVILACQUA E";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"BEVILACQUA E";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"BEVILACQUA E";"Zika";"Total Citations";"Citations";"28"
"BEVILACQUA E";"Zika";"Citations per Paper";"CitationRate";"9.33"
"BEVILACQUA E";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"29.67"
"BEVILACQUA E";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"10"
"BEVILACQUA E";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.5"
"BEVILACQUA E";"Zika";"Total Papers";"Papers";"2"
"BEVILACQUA E";"Zika";"Papers with International Affiliations";"PapersINTL";"1"
"BEVILACQUA E";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.5"
"BEVILACQUA E";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"4"
"BEVILACQUA E";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"BEVILACQUA E";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"0"
"BEVILACQUA E";"All";"Author affiliations";"Affiliation";"UNIFESP;USP"
"BEVILACQUA E";"All";"Authos afilliation states";"State";"SP"
"BEVILACQUA E";"All";"Author affiliation regions";"Region";"SE"
"BEVILACQUA E";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to both"
"BEVILACQUA E";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Soft pivot"
"SCARPASSA VM";"Pre-Outbreak";"Most Common Journal Area";"TopField";"GENETICS & HEREDITY"
"SCARPASSA VM";"Pre-Outbreak";"Total Citations";"Citations";"586"
"SCARPASSA VM";"Pre-Outbreak";"Citations per Paper";"CitationRate";"25.48"
"SCARPASSA VM";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"4.13"
"SCARPASSA VM";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"1.36363636363636"
"SCARPASSA VM";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.545454545454545"
"SCARPASSA VM";"Pre-Outbreak";"Total Papers";"Papers";"11"
"SCARPASSA VM";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"3"
"SCARPASSA VM";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.27"
"SCARPASSA VM";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"33"
"SCARPASSA VM";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"SCARPASSA VM";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"SCARPASSA VM";"Post-Outbreak";"Most Common Journal Area";"TopField";"PARASITOLOGY"
"SCARPASSA VM";"Post-Outbreak";"Total Citations";"Citations";"56"
"SCARPASSA VM";"Post-Outbreak";"Citations per Paper";"CitationRate";"4"
"SCARPASSA VM";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"4.79"
"SCARPASSA VM";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"3.07142857142857"
"SCARPASSA VM";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.571428571428571"
"SCARPASSA VM";"Post-Outbreak";"Total Papers";"Papers";"14"
"SCARPASSA VM";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"2"
"SCARPASSA VM";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.14"
"SCARPASSA VM";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"SCARPASSA VM";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.07"
"SCARPASSA VM";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"SCARPASSA VM";"Zika";"Most Common Journal Area";"TopField";"PARASITOLOGY"
"SCARPASSA VM";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"1"
"SCARPASSA VM";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"0"
"SCARPASSA VM";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"SCARPASSA VM";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"0"
"SCARPASSA VM";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"0"
"SCARPASSA VM";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"SCARPASSA VM";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"SCARPASSA VM";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"3"
"SCARPASSA VM";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"0"
"SCARPASSA VM";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"SCARPASSA VM";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"0"
"SCARPASSA VM";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"0"
"SCARPASSA VM";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"SCARPASSA VM";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"SCARPASSA VM";"Zika";"Total Citations";"Citations";"3"
"SCARPASSA VM";"Zika";"Citations per Paper";"CitationRate";"3"
"SCARPASSA VM";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"5"
"SCARPASSA VM";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"5"
"SCARPASSA VM";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0"
"SCARPASSA VM";"Zika";"Total Papers";"Papers";"1"
"SCARPASSA VM";"Zika";"Papers with International Affiliations";"PapersINTL";"0"
"SCARPASSA VM";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0"
"SCARPASSA VM";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"2"
"SCARPASSA VM";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"SCARPASSA VM";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"0"
"SCARPASSA VM";"All";"Author affiliations";"Affiliation";"INPA"
"SCARPASSA VM";"All";"Authos afilliation states";"State";"AM"
"SCARPASSA VM";"All";"Author affiliation regions";"Region";"N"
"SCARPASSA VM";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to both"
"SCARPASSA VM";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Soft pivot"
"OLIVEIRA EE";"Pre-Outbreak";"Most Common Journal Area";"TopField";"ENTOMOLOGY"
"OLIVEIRA EE";"Pre-Outbreak";"Total Citations";"Citations";"726"
"OLIVEIRA EE";"Pre-Outbreak";"Citations per Paper";"CitationRate";"33"
"OLIVEIRA EE";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"4.68"
"OLIVEIRA EE";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"1.3125"
"OLIVEIRA EE";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"1.0625"
"OLIVEIRA EE";"Pre-Outbreak";"Total Papers";"Papers";"16"
"OLIVEIRA EE";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"6"
"OLIVEIRA EE";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.38"
"OLIVEIRA EE";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"18"
"OLIVEIRA EE";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"OLIVEIRA EE";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"OLIVEIRA EE";"Post-Outbreak";"Most Common Journal Area";"TopField";"ENTOMOLOGY"
"OLIVEIRA EE";"Post-Outbreak";"Total Citations";"Citations";"626"
"OLIVEIRA EE";"Post-Outbreak";"Citations per Paper";"CitationRate";"8.94"
"OLIVEIRA EE";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"7.1"
"OLIVEIRA EE";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2.56060606060606"
"OLIVEIRA EE";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.484848484848485"
"OLIVEIRA EE";"Post-Outbreak";"Total Papers";"Papers";"66"
"OLIVEIRA EE";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"22"
"OLIVEIRA EE";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.33"
"OLIVEIRA EE";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"OLIVEIRA EE";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.03"
"OLIVEIRA EE";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"1"
"OLIVEIRA EE";"Zika";"Most Common Journal Area";"TopField";"ENVIRONMENTAL SCIENCES & ECOLOGY"
"OLIVEIRA EE";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"1"
"OLIVEIRA EE";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"0"
"OLIVEIRA EE";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"OLIVEIRA EE";"Zika";"Frequency of MeSH Category - Virus Characterization";"MeSHCat - Frequency of MeSH Category - Virus Characterization";"0"
"OLIVEIRA EE";"Zika";"Frequency of MeSH Category - Related Diseases";"MeSHCat - Frequency of MeSH Category - Related Diseases";"0"
"OLIVEIRA EE";"Zika";"Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCat - Frequency of MeSH Category - Treatments, Vaccines & Diagnostic Tests";"0"
"OLIVEIRA EE";"Zika";"Frequency of MeSH Category - Clinical manifestations";"MeSHCat - Frequency of MeSH Category - Clinical manifestations";"0"
"OLIVEIRA EE";"Zika";"Citations from papers in MeSH Category - Vector & Transmission";"MeSHCatCites - Vector & Transmission";"66"
"OLIVEIRA EE";"Zika";"Citations from papers in MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCatCites - Epidemiology, Outbreaks & Surveillance";"0"
"OLIVEIRA EE";"Zika";"Citations from papers in MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCatCites - Microcephaly, Fetal infections & Pregnancy Complications";"0"
"OLIVEIRA EE";"Zika";"Citations from papers in MeSH Category - Virus Characterization";"MeSHCatCites - Virus Characterization";"0"
"OLIVEIRA EE";"Zika";"Citations from papers in MeSH Category - Related Diseases";"MeSHCatCites - Related Diseases";"0"
"OLIVEIRA EE";"Zika";"Citations from papers in MeSH Category - Treatments, Vaccines & Diagnostic Tests";"MeSHCatCites - Treatments, Vaccines & Diagnostic Tests";"0"
"OLIVEIRA EE";"Zika";"Citations from papers in MeSH Category - Clinical manifestations";"MeSHCatCites - Clinical manifestations";"0"
"OLIVEIRA EE";"Zika";"Total Citations";"Citations";"74"
"OLIVEIRA EE";"Zika";"Citations per Paper";"CitationRate";"37"
"OLIVEIRA EE";"Zika";"Number of Authors per Paper";"AvgAuthorNumber";"6.5"
"OLIVEIRA EE";"Zika";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"1.5"
"OLIVEIRA EE";"Zika";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"2.5"
"OLIVEIRA EE";"Zika";"Total Papers";"Papers";"2"
"OLIVEIRA EE";"Zika";"Papers with International Affiliations";"PapersINTL";"2"
"OLIVEIRA EE";"Zika";"Percentage of Papers with International Affiliations";"PercPapersINTL";"1"
"OLIVEIRA EE";"Zika";"Academic Age - Years Since the First Paper Record";"Academic Age";"4"
"OLIVEIRA EE";"Zika";"Percentage of Zika-related papers";"PercZika";"1"
"OLIVEIRA EE";"Zika";"Number of highly-cited Zika papers";"HighlyCited";"1"
"OLIVEIRA EE";"All";"Author affiliations";"Affiliation";"UFV"
"OLIVEIRA EE";"All";"Authos afilliation states";"State";"MG"
"OLIVEIRA EE";"All";"Author affiliation regions";"Region";"SE"
"OLIVEIRA EE";"All";"CognitiveCareerNetworkCoupling";"CareerNetCoupling";"Coupled to both"
"OLIVEIRA EE";"All";"CognitiveCareerNetworkPivot";"CareerNetPivot";"Soft pivot"
"STABELI RG";"Pre-Outbreak";"Most Common Journal Area";"TopField";"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"STABELI RG";"Pre-Outbreak";"Total Citations";"Citations";"1807"
"STABELI RG";"Pre-Outbreak";"Citations per Paper";"CitationRate";"24.42"
"STABELI RG";"Pre-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"9.91"
"STABELI RG";"Pre-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"2.91228070175439"
"STABELI RG";"Pre-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.175438596491228"
"STABELI RG";"Pre-Outbreak";"Total Papers";"Papers";"57"
"STABELI RG";"Pre-Outbreak";"Papers with International Affiliations";"PapersINTL";"7"
"STABELI RG";"Pre-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.12"
"STABELI RG";"Pre-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"23"
"STABELI RG";"Pre-Outbreak";"Percentage of Zika-related papers";"PercZika";"0"
"STABELI RG";"Pre-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"STABELI RG";"Post-Outbreak";"Most Common Journal Area";"TopField";"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"STABELI RG";"Post-Outbreak";"Total Citations";"Citations";"211"
"STABELI RG";"Post-Outbreak";"Citations per Paper";"CitationRate";"8.12"
"STABELI RG";"Post-Outbreak";"Number of Authors per Paper";"AvgAuthorNumber";"10.77"
"STABELI RG";"Post-Outbreak";"Number of non-INTL Authors per Paper";"AvgAuthorNumberNonINTL";"4.48"
"STABELI RG";"Post-Outbreak";"Number of INTL Authors per Paper";"AvgAuthorNumberINTL";"0.52"
"STABELI RG";"Post-Outbreak";"Total Papers";"Papers";"25"
"STABELI RG";"Post-Outbreak";"Papers with International Affiliations";"PapersINTL";"8"
"STABELI RG";"Post-Outbreak";"Percentage of Papers with International Affiliations";"PercPapersINTL";"0.32"
"STABELI RG";"Post-Outbreak";"Academic Age - Years Since the First Paper Record";"Academic Age";"5"
"STABELI RG";"Post-Outbreak";"Percentage of Zika-related papers";"PercZika";"0.08"
"STABELI RG";"Post-Outbreak";"Number of highly-cited Zika papers";"HighlyCited";"0"
"STABELI RG";"Zika";"Most Common Journal Area";"TopField";"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"STABELI RG";"Zika";"Frequency of MeSH Category - Vector & Transmission";"MeSHCat - Frequency of MeSH Category - Vector & Transmission";"0"
"STABELI RG";"Zika";"Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"MeSHCat - Frequency of MeSH Category - Epidemiology, Outbreaks & Surveillance";"0"
"STABELI RG";"Zika";"Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"MeSHCat - Frequency of MeSH Category - Microcephaly, Fetal infections & Pregnancy Complications";"1"
